"","single_use_utensil_bylaw_opinion","age","gender","education","household_income","location"
"946","Strongly support","Male","58","University graduate degree","$125,000-$149,999","NORTH YORK"
"947","Somewhat support","Male","31","University graduate degree","$75,000-$79,999","NORTH YORK"
"948","Strongly support","Male","45","Graduated from college / CEGEP / Trade School","$65,000-$69,999","NORTH YORK"
"949","Somewhat support","Male","27","University undergraduate degree","$50,000-$54,999","NORTH YORK"
"950","Strongly support","Male","33","University graduate degree","$80,000-$84,999","SCARBOROUGH"
"951","Don?t know","Male","35","University graduate degree","Prefer not to answer","ETOBICOKE"
"952","Strongly support","Male","67","Graduated from college / CEGEP / Trade School","$50,000-$54,999","NORTH YORK"
"953","Somewhat support","Male","43","University undergraduate degree","$125,000-$149,999","NORTH YORK"
"954","Strongly support","Male","51","Graduated from college / CEGEP / Trade School","$125,000-$149,999","ETOBICOKE"
"955","Somewhat oppose","Male","31","University graduate degree","$55,000-$59,999","YORK"
"956","Strongly support","Male","44","Graduated from college / CEGEP / Trade School","$40,000-$44,999","SCARBOROUGH"
"957","Somewhat oppose","Male","37","University graduate degree","$150,000-$199,999","NORTH YORK"
"958","Strongly oppose","Male","32","University undergraduate degree","$25,000-$29,999","YORK"
"959","Strongly oppose","Male","54","University undergraduate degree","$60,000-$64,999","NORTH YORK"
"960","Somewhat support","Male","79","University graduate degree","$95,000-$99,999","ETOBICOKE"
"961","Strongly support","Male","33","Graduated from college / CEGEP / Trade School","$80,000-$84,999","NORTH YORK"
"962","Somewhat support","Male","36","Graduated high school","$20,000-$24,999","SCARBOROUGH"
"963","Strongly support","Female","45","University undergraduate degree","$40,000-$44,999","SCARBOROUGH"
"964","Strongly support","Female","72","University undergraduate degree","$65,000-$69,999","ETOBICOKE"
"965","Somewhat support","Female","44","Some college / CEGEP / Trade School","$65,000-$69,999","ETOBICOKE"
"966","Somewhat support","Female","53","University undergraduate degree","$125,000-$149,999","NORTH YORK"
"967","Strongly support","Female","65","Some high school","$10,000-$14,999","ETOBICOKE"
"968","Strongly support","Female","35","University graduate degree","$125,000-$149,999","ETOBICOKE"
"969","Somewhat support","Female","69","Some university, but did not finish","$45,000-$49,999","SCARBOROUGH"
"970","Strongly support","Female","61","Graduated from college / CEGEP / Trade School","$55,000-$59,999","NORTH YORK"
"971","Strongly support","Female","56","Some college / CEGEP / Trade School","$20,000-$24,999","YORK"
"972","Neither support nor oppose","Female","41","Graduated from college / CEGEP / Trade School","$85,000-$89,999","SCARBOROUGH"
"973","Somewhat support","Female","45","University graduate degree","$100,000-$124,999","SCARBOROUGH"
"974","Strongly support","Female","42","University graduate degree","$90,000-$94,999","ETOBICOKE"
"975","Strongly support","Female","63","University undergraduate degree","$85,000-$89,999","NORTH YORK"
"976","Strongly support","Female","61","University undergraduate degree","$150,000-$199,999","NORTH YORK"
"977","Don?t know","Female","39","Graduated high school","Prefer not to answer","YORK"
"978","Strongly support","Female","59","Graduated from college / CEGEP / Trade School","$40,000-$44,999","NORTH YORK"
"979","Neither support nor oppose","Female","63","Some college / CEGEP / Trade School","$30,000-$34,999","NORTH YORK"
"980","Strongly support","Female","38","Some college / CEGEP / Trade School","$125,000-$149,999","ETOBICOKE"
"981","Strongly support","Female","59","University graduate degree","$125,000-$149,999","NORTH YORK"
"982","Somewhat support","Female","40","Graduated high school","$80,000-$84,999","ETOBICOKE"
"983","Somewhat oppose","Female","50","University graduate degree","$150,000-$199,999","NORTH YORK"
"984","Neither support nor oppose","Female","40","Graduated high school","$45,000-$49,999","SCARBOROUGH"
"985","Somewhat support","Female","38","University undergraduate degree","$65,000-$69,999","SCARBOROUGH"
"986","Neither support nor oppose","Female","42","Graduated from college / CEGEP / Trade School","$85,000-$89,999","SCARBOROUGH"
"987","Somewhat support","Female","62","Graduated high school","$10,000-$14,999","SCARBOROUGH"
"988","Strongly support","Female","60","University graduate degree","Prefer not to answer","ETOBICOKE"
"989","Strongly support","Female","51","Graduated high school","$30,000-$34,999","ETOBICOKE"
"990","Strongly support","Female","16","Some high school","Prefer not to answer","ETOBICOKE"
"991","Strongly support","Female","45","University undergraduate degree","$150,000-$199,999","ETOBICOKE"
"992","Strongly support","Female","68","Graduated high school","$55,000-$59,999","SCARBOROUGH"
"993","Strongly support","Female","56","Graduated from college / CEGEP / Trade School","$125,000-$149,999","ETOBICOKE"
"994","Strongly support","Female","63","University undergraduate degree","$250,000 or more","ETOBICOKE"
"995","Strongly support","Female","66","Graduated high school","$25,000-$29,999","ETOBICOKE"
"996","Neither support nor oppose","Female","55","Some university, but did not finish","$5,000-$9,999","ETOBICOKE"
"997","Strongly oppose","Female","47","Some university, but did not finish","$25,000-$29,999","NORTH YORK"
"998","Strongly support","Female","49","Graduated from college / CEGEP / Trade School","$60,000-$64,999","NORTH YORK"
"999","Strongly support","Female","23","Graduated from college / CEGEP / Trade School","$40,000-$44,999","NORTH YORK"
"1000","Strongly support","Male","59","Graduated high school","Prefer not to answer","SCARBOROUGH"
"1001","Somewhat support","Female","26","University graduate degree","$65,000-$69,999","SCARBOROUGH"
